::ffff:127.0.0.1 - - [20/Apr/2020:22:36:40 +0000] "GET /movie/allData?page=0&length=30&column=0&dir=1 HTTP/1.1" 304 - "http://127.0.0.1:8080/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
::ffff:127.0.0.1 - - [20/Apr/2020:22:36:46 +0000] "GET /movie/allData?page=0&length=30&column=0&dir=1 HTTP/1.1" 304 - "http://127.0.0.1:8080/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
::ffff:127.0.0.1 - - [20/Apr/2020:22:38:11 +0000] "GET /movie/allData?page=0&length=30&column=0&dir=1 HTTP/1.1" 304 - "http://127.0.0.1:8080/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
::ffff:127.0.0.1 - - [20/Apr/2020:22:39:41 +0000] "GET /movie/allData?page=0&length=30&column=0&dir=1 HTTP/1.1" 304 - "http://127.0.0.1:8080/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
::ffff:127.0.0.1 - - [20/Apr/2020:22:41:16 +0000] "GET /movie/allData?page=0&length=30&column=0&dir=1 HTTP/1.1" 304 - "http://127.0.0.1:8080/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
::ffff:127.0.0.1 - - [20/Apr/2020:22:43:09 +0000] "GET /movie/allData?page=0&length=30&column=0&dir=1 HTTP/1.1" 200 223 "http://127.0.0.1:8080/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
::ffff:127.0.0.1 - - [20/Apr/2020:22:43:32 +0000] "GET /movie/allData?page=0&length=30&column=0&dir=1 HTTP/1.1" 304 - "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36"
::ffff:127.0.0.1 - - [20/Apr/2020:22:43:33 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "http://127.0.0.1:3000/movie/allData?page=0&length=30&column=0&dir=1" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36"
::ffff:127.0.0.1 - - [20/Apr/2020:22:45:52 +0000] "GET /movie/allData?page=0&length=30&column=0&dir=1 HTTP/1.1" 304 - "http://127.0.0.1:8080/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
::ffff:127.0.0.1 - - [20/Apr/2020:22:52:05 +0000] "GET /movie/allData?page=0&length=30&column=0&dir=1 HTTP/1.1" 304 - "http://127.0.0.1:8080/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
::ffff:127.0.0.1 - - [20/Apr/2020:22:53:32 +0000] "GET /movie/allData?page=0&length=30&column=0&dir=1 HTTP/1.1" 304 - "http://127.0.0.1:8080/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
::ffff:127.0.0.1 - - [20/Apr/2020:22:56:11 +0000] "GET /movie/allData?page=0&length=30&column=0&dir=1 HTTP/1.1" 304 - "http://127.0.0.1:8080/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
::ffff:127.0.0.1 - - [20/Apr/2020:22:58:33 +0000] "GET /movie/allData?page=0&length=30&column=0&dir=1 HTTP/1.1" 200 - "http://127.0.0.1:8080/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
::ffff:127.0.0.1 - - [20/Apr/2020:22:59:10 +0000] "GET /movie/allData?page=1&length=30&column=0&dir=1 HTTP/1.1" 200 - "http://127.0.0.1:8080/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36"
::ffff:127.0.0.1 - - [20/Apr/2020:22:59:11 +0000] "GET /movie/allData?page=2&length=30&column=0&dir=1 HTTP/1.1" 200 222 "http://127.0.0.1:8080/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36"
::ffff:127.0.0.1 - - [20/Apr/2020:22:59:18 +0000] "GET /movie/allData?page=1&length=30&column=0&dir=1 HTTP/1.1" 304 - "http://127.0.0.1:8080/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36"
::ffff:127.0.0.1 - - [20/Apr/2020:23:00:27 +0000] "GET /movie/allData?page=0&length=30&column=0&dir=1 HTTP/1.1" 200 332 "http://127.0.0.1:8080/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36"
::ffff:127.0.0.1 - - [20/Apr/2020:23:01:40 +0000] "GET /movie/allData?page=0&length=30&column=0&dir=1 HTTP/1.1" 200 223 "http://127.0.0.1:8080/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
::ffff:127.0.0.1 - - [20/Apr/2020:23:04:37 +0000] "GET /movie/allData?page=0&length=30&column=0&dir=1 HTTP/1.1" 304 - "http://127.0.0.1:8080/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
::ffff:127.0.0.1 - - [20/Apr/2020:23:06:55 +0000] "GET /movie/allData?page=0&length=30&column=0&dir=1 HTTP/1.1" 304 - "http://127.0.0.1:8080/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
::ffff:127.0.0.1 - - [20/Apr/2020:23:07:52 +0000] "GET /movie/allData?page=0&length=30&column=0&dir=1 HTTP/1.1" 304 - "http://127.0.0.1:8080/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
::ffff:127.0.0.1 - - [20/Apr/2020:23:10:50 +0000] "GET /movie/allData?page=0&length=30&sea=Buffalo+Bill%27s+Wild+West+Parad&column=0&dir=1 HTTP/1.1" 200 332 "http://127.0.0.1:8080/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
::ffff:127.0.0.1 - - [20/Apr/2020:23:13:39 +0000] "GET /movie/allData?page=0&length=30&sea=Buffalo+Bill%27s+Wild+West+Parad&column=0&dir=1 HTTP/1.1" 500 35 "http://127.0.0.1:8080/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
::ffff:127.0.0.1 - - [20/Apr/2020:23:14:48 +0000] "GET /movie/allData?page=0&length=30&sea=Buffalo+Bill%27s+Wild+West+Parad&column=0&dir=1 HTTP/1.1" 500 301 "http://127.0.0.1:8080/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
::ffff:127.0.0.1 - - [20/Apr/2020:23:31:34 +0000] "GET /movie/allData?page=0&length=30&sea=Buffalo+Bill%27s+Wild+West+Parad&column=0&dir=1 HTTP/1.1" 500 301 "http://127.0.0.1:8080/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36"
::ffff:127.0.0.1 - - [21/Apr/2020:06:24:59 +0000] "GET /movie/allData?page=0&length=30&sea=Buffalo+Bill%27s+Wild+West+Parad&column=0&dir=1 HTTP/1.1" 500 301 "http://127.0.0.1:8080/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
::ffff:127.0.0.1 - - [21/Apr/2020:06:27:00 +0000] "GET /movie/allData?page=0&length=30&sea=Buffalo+Bill%27s+Wild+West+Parad&column=0&dir=1 HTTP/1.1" 500 301 "http://127.0.0.1:8080/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
::ffff:127.0.0.1 - - [21/Apr/2020:06:28:10 +0000] "GET /movie/allData?page=0&length=30&sea=Buffalo+Bill%27s+Wild+West+Parad&column=0&dir=1 HTTP/1.1" 500 301 "http://127.0.0.1:8080/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
::ffff:127.0.0.1 - - [21/Apr/2020:06:29:06 +0000] "GET /movie/allData?page=0&length=30&sea=Buffalo+Bill%27s+Wild+West+Parad&column=0&dir=1 HTTP/1.1" 500 301 "http://127.0.0.1:8080/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
::ffff:127.0.0.1 - - [21/Apr/2020:06:31:08 +0000] "GET /movie/allData?page=0&length=30&sea=Buffalo+Bill%27s+Wild+West+Parad&column=0&dir=1 HTTP/1.1" 500 301 "http://127.0.0.1:8080/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
::ffff:127.0.0.1 - - [21/Apr/2020:06:32:18 +0000] "GET /movie/allData?page=0&length=30&sea=Buffalo+Bill%27s+Wild+West+Parad&column=0&dir=1 HTTP/1.1" 500 301 "http://127.0.0.1:8080/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
::ffff:127.0.0.1 - - [21/Apr/2020:06:34:23 +0000] "GET /movie/allData?page=0&length=30&sea=&column=0&dir=1 HTTP/1.1" - - "http://127.0.0.1:8080/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
::ffff:127.0.0.1 - - [21/Apr/2020:06:34:25 +0000] "GET /movie/allData?page=0&length=30&sea=&column=0&dir=1 HTTP/1.1" 200 - "http://127.0.0.1:8080/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
::ffff:127.0.0.1 - - [21/Apr/2020:06:34:39 +0000] "GET /movie/allData?page=0&length=30&sea=Buffalo+Bill%27s+Wild+West+Parad&column=0&dir=1 HTTP/1.1" 500 301 "http://127.0.0.1:8080/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
::ffff:127.0.0.1 - - [21/Apr/2020:06:49:16 +0000] "GET /movie/allData?page=0&length=30&sea=&column=0&dir=1 HTTP/1.1" 304 - "http://127.0.0.1:8080/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36"
::ffff:127.0.0.1 - - [21/Apr/2020:06:51:23 +0000] "GET /movie/allData?page=0&length=30&sea=&column=0&dir=1 HTTP/1.1" - - "http://127.0.0.1:8080/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
::ffff:127.0.0.1 - - [21/Apr/2020:06:52:12 +0000] "GET /movie/allData?page=0&length=30&sea=&column=0&dir=1 HTTP/1.1" 200 - "http://127.0.0.1:8080/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
::ffff:127.0.0.1 - - [21/Apr/2020:06:52:44 +0000] "GET /movie/allData?page=0&length=30&sea=Buffalo+Bill%27s+Wild+West+Parad&column=0&dir=1 HTTP/1.1" 500 301 "http://127.0.0.1:8080/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
::ffff:127.0.0.1 - - [21/Apr/2020:06:52:50 +0000] "GET /movie/allData?page=0&length=30&sea=Buffalo+Bill%27s+Wild+West+Parad&column=0&dir=1 HTTP/1.1" 500 301 "http://127.0.0.1:8080/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
::ffff:127.0.0.1 - - [21/Apr/2020:06:56:21 +0000] "GET /movie/allData?page=0&length=30&sea=Buffalo+Bill%27s+Wild+West+Parad&column=0&dir=1 HTTP/1.1" 500 301 "http://127.0.0.1:8080/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
::ffff:127.0.0.1 - - [21/Apr/2020:07:00:50 +0000] "GET /movie/allData?page=0&length=30&sea=&column=0&dir=1 HTTP/1.1" 304 - "http://127.0.0.1:8080/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
::ffff:127.0.0.1 - - [21/Apr/2020:07:01:05 +0000] "GET /movie/allData?page=0&length=30&sea=++&column=0&dir=1 HTTP/1.1" 500 301 "http://127.0.0.1:8080/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
